xgboost,EqualGuessing
0.8511029411764705,0.5
0.8398655913978494,0.5
0.9503676470588235,0.5
0.7683150183150182,0.5
0.7987361615637433,0.5
0.99312641723356,0.5
0.861111111111111,0.5
0.903862506541078,0.5
0.8046783625730994,0.5
0.9259259259259259,0.5
0.9199697919584198,0.5
0.806704260651629,0.5
0.6730618218161051,0.5
0.8866042446941323,0.5
0.6499792703150912,0.5
0.6780027833162677,0.5
1.0,0.5
0.8283596837944666,0.5
0.8541644138418332,0.5
0.9235096104430053,0.5
0.8408158665765159,0.5
0.6555555555555556,0.5
0.8582345191040842,0.5
0.8107750204933303,0.5
0.8483333333333333,0.5
0.8445253933058812,0.5
0.8423307874920778,0.5
0.9650715623327982,0.5
0.8355103957075789,0.5
0.9094444444444445,0.5
1.0,0.5
0.9613858363858364,0.5
0.7797964113181504,0.5
0.9242063492063491,0.5
0.7650424510889627,0.5
0.6318181818181817,0.5
0.5547480620155039,0.5
0.8599427106889794,0.5
0.887932683113406,0.5
0.7067271295620206,0.5
0.9038244975744977,0.5
0.6980384639959109,0.5
0.807213052051853,0.5
0.9656233279828786,0.5
